Latitude [°],Longitude [°],Was cleaned,Access type,Distance from the road [m],Location type,Waste area [m²],Waste volume [m³],Organic waste [%],Construction waste [%],Mixed/non-recyclable waste [%],Bulky waste [%],Tires [%],Motor vehicles [%],Hazardous/toxic waste [%],Asbestos panels [%],Barrels with hazardous/unknown liquid,Waste partially buried?,Importance assessment,IRSOP,Duty of Slovenia Forest Service,Entry creation date,Last modification date,Geopedia URL,ID,Name,Description/quantity of hazardous waste,Municipality,Land registry property ID
continuous,continuous,0 1,Inaccessible Off-road On\ foot Private\ car Unsafe\ access,continuous,Basin Plane Slope,continuous,continuous,0 1 2 3 4 5 6 8 9 10 14 15 16 18 19 20 25 27 30 33 34 35 37 38 40 43 44 45 47 48 49 50 53 54 55 58 59 60 62 65 66 67 68 70 73 74 75 78 79 80 83 84 85 88 90 92 93 94 95 96 97 98 99 100,continuous,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 25 29 30 33 34 35 38 40 43 45 48 49 50 53 55 59 60 61 62 65 68 69 70 73 75 77 80 83 84 85 89 90 93 94 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 19 20 22 23 24 25 29 30 33 34 35 38 39 40 44 45 49 50 54 55 59 60 63 65 66 67 69 70 71 72 74 75 77 78 79 80 82 84 85 89 90 92 93 94 95 96 98 99 100,0 1 2 3 4 5 7 10 11 15 20 25 30 40 50 60 65 70 75 80 90 95 100,0 1 5 10 15 20 25 30 35 40 50 60 70 75 80 85 90 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 23 25 30 33 35 37 40 45 49 50 55 57 60 65 67 69 70 75 80 85 90 93 94 95 99 100,0 1 2 3 4 5 6 8 10 12 15 20 23 25 30 33 35 40 50 55 60 67 70 75 80 85 90 95 98 99 100,0 1,0 1,continuous,Celje Koper Kranj Ljubljana Maribor Murska\ Sobota Nova\ Gorica Novo\ Mesto Novo\ mesto,0 1,time,time,string,continuous,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,meta,meta,meta,meta,meta,meta
45.8782770619,13.9133827968,0,Private car,200.0,Plane,20.0,25.0,,,,,,,100,,0,0,14.0,Nova Gorica,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F68,68.0,,"Dva avtomobila Chrysler Voyager, nevozna, neregistrirana, delno žeodmontirani deli. Na tem mestu je eden približno leto in pol, drugu pa približnošest mesecev.",Ajdovščina,1667-1908/1
46.3149033813,15.9186641971,0,On foot,10.0,Slope,200.0,25.0,0,0.0,25,70,,,,5,0,0,10.0,Maribor,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F69,69.0,,salonitne plošče,Videm,196-1716/1
46.0118947935,15.4464564699,0,Off-road,100.0,Slope,100.0,25.0,,,,50,,,50,,0,0,12.0,Novo Mesto,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F70,70.0,,"Nevarni odpadki (5m3)_ avtomobil, pnevmatike, embalaže pesticidov, akumulatorKosovni odpadki (5m3): sodi, hladilniki, pralni stroj, računalnik, ...",Krško,2706-139/5
46.2916467438,15.1511316432,1,Off-road,300.0,Plane,10.0,10.0,5,0.0,15,65,5,0,10,,0,1,9.0,Celje,0,2011-03-29,2016-05-03,http://www.geopedia.si/?params=T1199_L6357_F15433,15433.0,Pod Lucijek - Grebane,"Pod klancem za Studence v smeri Pirešice zaviješ desno v gozd na levi straniceste je lovska preža. Nadaljuješ po gozdni poti po vrhu hriba cca. 300m v gozd.Odlagališče je na vrhu v vrtači in je dostopno z traktorjem. Nevarnoodstranjevanje saj je možnost ""požiralnika"". Odpadki so tudi v dolini čenadaljuješ po drugi gozdni cesti ob potoku in sicer boben od pralnega stroja,sod in plastična embalaže...",Žalec,2171-3/2
45.6932086005,14.8013878548,1,Private car,50.0,Basin,10.0,25.0,20,60.0,10,10,,,,,0,0,5.0,Ljubljana,0,2010-03-28,2013-05-14,http://www.geopedia.si/?params=T1199_L6357_F75,75.0,Gornje Ložine,,Kočevje,289-268
45.6928085924,14.7890632161,1,Private car,500.0,Plane,10.0,1.0,,,100,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2017-04-11,http://www.geopedia.si/?params=T1199_L6357_F76,76.0,Jasnica_gozdna cesta_vlaka,,Kočevje,289-227
45.682163225,14.8202462832,1,Private car,50.0,Plane,20.0,1.0,,,100,,,,,,1,0,2.0,Ljubljana,0,2010-04-04,2015-04-10,http://www.geopedia.si/?params=T1199_L6357_F77,77.0,Mrtvice_vizavi počivališča,,Kočevje,1219-45/1
45.6747055113,14.8675818101,1,Private car,500.0,Plane,5.0,10.0,30,20.0,20,20,,,10,,0,0,,Ljubljana,0,2010-04-04,2011-04-10,http://www.geopedia.si/?params=T1199_L6357_F78,78.0,,,Kočevje,290-731
46.2257301829,15.6076490109,1,Private car,20.0,Slope,500.0,10.0,,,,100,,,,,0,0,4.0,Celje,0,2010-03-28,2012-03-19,http://www.geopedia.si/?params=T1199_L6357_F80,80.0,,"Razne pločevinke,odpadna peč za kurjavo,štedilnik,razna pločevina",Rogaška Slatina,1310-399
45.5846336842,13.7292086137,0,On foot,50.0,Basin,30.0,50.0,,10.0,10,80,,,,,0,0,9.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F82,82.0,,Nekdanje odlagališče na Razgledni poti (nasproti hiše na Razgledni poti 1),Koper,1695-874/1
